<?php  if ( ! defined('BASEPATH')) exit('No direct script access allowed'); ?>

ERROR - 2021-12-13 22:01:48 --> 404 Page Not Found --> pagosmsi
ERROR - 2021-12-13 22:01:51 --> 404 Page Not Found --> pagosmsi
ERROR - 2021-12-13 22:01:51 --> 404 Page Not Found --> pagosmsi
ERROR - 2021-12-13 22:01:51 --> 404 Page Not Found --> pagosmsi
ERROR - 2021-12-13 22:01:51 --> 404 Page Not Found --> pagosmsi
ERROR - 2021-12-13 22:02:31 --> 404 Page Not Found --> checkout.css
ERROR - 2021-12-13 22:02:31 --> 404 Page Not Found --> checkout.js
ERROR - 2021-12-13 22:02:31 --> 404 Page Not Found --> checkout.js
ERROR - 2021-12-13 22:02:35 --> 404 Page Not Found --> pagosmsi
ERROR - 2021-12-13 22:03:44 --> 404 Page Not Found --> checkout.css
ERROR - 2021-12-13 22:03:44 --> 404 Page Not Found --> checkout.js
ERROR - 2021-12-13 22:03:44 --> 404 Page Not Found --> checkout.js
